ID COMERCIO,EMPRESA,DIRECCION,TELEFONOS,PROPIETARIO,ANTIGÜEDAD,MAYORISTA,MINORISTA,SERVICIOS,TIPO,FAMILIAR?,RUC,LATITUD,LONGITUD,RUBRO
576,VIDRERIA GONZALITO,INTENDENTE SCREIBER N 346,(0331)242039,HOMBRE,240,NO,SÍ,NO,MICRO,SÍ,325053-9,-23.40706,-57.4399,PELUQUERIAS
577,CASA LUNA,ROMUALDO YRIGOYEN C/ AV. ELIGIO AYALA,331243242,HOMBRE,240,NO,SÍ,NO,MICRO,SÍ,1429807-4,-23.41545,-57.44611,DESPENSAS
578,LA SUDAMERICANA,CALLE SCREIBERT,984511206,MUJER,48,SÍ,SÍ,NO,MICRO,NO,0,-23.40632,-57.43993,TRANSPORTADORAS
579,TALLER DE MOTO Y GOMERIA SAN FERNANDO ,ROMUALDO YRIGOYEN C/ AV. ELIGIO AYALA,0,HOMBRE,60,NO,NO,SÍ,MICRO,SÍ,0,-23.41526,-57.44603,AUTOMOTORES - Talleres Mecanicos
580,BONITA BOUTIG,SCREIBER DON BOSCO,0,MUJER,48,NO,SÍ,NO,MICRO,SÍ,0,-23.4069,-57.44108,VERDULERIAS
581,FERRETERIA MBARETE,CALLE SCREIBERT ESQUINA YTORORO,331240216,ORGANIZACION,108,SÍ,SÍ,NO,MICRO,NO,800826210-7,-23.40581,-57.43983,HARINA DE MAIZ
582,BODEGA CALI,ROMUALDO YRIGOYEN C/ AV. ELIGIO AYALA,0,HOMBRE,120,NO,SÍ,NO,MICRO,SÍ,0,-23.41564,-57.44614,BODEGAS
583,JKC COMERCIAL,DON BOSCO Y SCREIBER,(0331)31241017,MUJER,60,NO,SÍ,NO,MICRO,NO,0,-23.40759,-57.43964,METALURGICAS
584,PLASTI CJ,DON BOSCO Y SCREIBER ,971834053,HOMBRE,36,NO,SÍ,NO,MICRO,NO,368393-2,-23.40758,-57.44001,FERRETERIAS
585,FOTO GABY,AV. ELIGIO AYALA C/ PJC ,971805136,MUJER,300,NO,SÍ,NO,MICRO,SÍ,4642380-0,-23.41471,-57.44742,CAMIONES - Taller Mecanico
586,TODO PLASTICO,CALLE CABRAL,331241667,MUJER,120,NO,SÍ,NO,MICRO,NO,2377492-4,-23.406,-57.43886,GOMERIAS
587,VIVI NOVIAS,DON BOSCO CASI SCREIBER,992514304,MUJER,72,NO,SÍ,NO,MICRO,SÍ,1952593-1,-23.40748,-57.43951,AUTOSERVICES
588,COMERCIAL ENZO,CALLE PROFESOR CABRAL,984945886,HOMBRE,6,NO,SÍ,NO,MICRO,NO,0,-23.406,-57.43891,FERRETERIAS
589,PASTELERÍA SAN ANTONIO ,BASILIO QUEVEDO CASI 14 DE MAYO,973857218,HOMBRE,60,NO,SÍ,NO,MICRO,NO,0,-23.42191,-57.44276,BODEGAS
590,AJR COMERCIAL,CALLE CABRAL,973137512,HOMBRE,24,NO,SÍ,NO,MICRO,NO,1715164-3,-23.40605,-57.43893,HERRERIAS DE OBRA
591,ALMACÉN ÑA IDA,ITURBE MANUEL GAMARRA,0,MUJER,96,NO,SÍ,NO,MICRO,SÍ,0,-23.4158,-57.44718,MOTOCICLETAS - Repuestos y Accesorios
592,GUGU COMUNICACIONES,DON BOSCO CASI SCREIBER,(0331)241112,HOMBRE,168,NO,SÍ,NO,MICRO,SÍ,3584543-0,-23.40746,-57.43957,LIBRERIAS
593,MACCA Y LENNY REGALOS,CALLE CABRAL,331243556,MUJER,48,NO,SÍ,NO,MICRO,NO,1895469-3,-23.40606,-57.43892,HELADERIAS
