id,channel,name,authorized,description,department,city,source,link,lat,lon,agreement,category
ZPD821,200,"VIRGEN DE LOS 7 DOLORES - ZPD821 - 87,9MHz",ASOCIACIÓN RADIO COMUNITARIA VIRGEN DE LOS 7 DOLORES,"Departamento: Guairá<br>Localidad: Félix Pérez Cardozo<br>Frecuencia: 87,9MHz<br>P.E.R.: 50W",Guairá,Félix Pérez Cardozo,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.743056/-56.523056,-25.743056,-56.523056,"SI, Acepto",Radios Comunitarias
ZPD633,200,"VIRGEN DEL ROSARIO FM - ZPD633 - 87,9MHz",ASOCIACIÓN FM VIRGEN DEL ROSARIO,"Departamento: Paraguarí<br>Localidad: Pirayú<br>Frecuencia: 87,9MHz<br>P.E.R.: 50W",Paraguarí,Pirayú,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.482778/-57.24,-25.482778,-57.24,"SI, Acepto",Radios Comunitarias
ZPC787,200,"YAGUARÓN POTY - ZPC787 - 87,9MHz",COMISIÓN DE DEFENSA DE LOS DERECHOS DE LA CIUDADANIA,"Departamento: Paraguarí<br>Localidad: Yaguarón<br>Frecuencia: 87,9MHz<br>P.E.R.: 50W",Paraguarí,Yaguarón,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.564722/-57.288056,-25.564722,-57.288056,"SI, Acepto",Radios Comunitarias
ZPC326,205,"YASY CAÑY FM - ZPC326 - 88,9MHz",COMISIÓN PRO DESARROLLO DE LA COLONIA YASY CAÑY,"Departamento: Canindeyu<br>Localidad: Yasy Cañy<br>Frecuencia: 88,9MHz<br>P.E.R.: 50W",Canindeyu,Yasy Cañy,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.528611/-55.887222,-24.528611,-55.887222,"SI, Acepto",Radios Comunitarias
ZPC335,289,"YATAITY POTY - ZPC335 - 105,7MHz",ASOCIACIÓN DE EDUCADORES DE YATAITY,"Departamento: Guairá<br>Localidad: Yataity<br>Frecuencia: 105,7MHz<br>P.E.R.: 50W",Guairá,Yataity,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.685833/-56.465278,-25.685833,-56.465278,"SI, Acepto",Radios Comunitarias
ZPD810,232,"YBAGARAPÉ FM - ZPD810 - 94,3MHz",ASOCIACIÓN RADIO COMUNITARIA YBAGARAPÉ,"Departamento: Caaguazú<br>Localidad: Caaguazú<br>Frecuencia: 94,3MHz<br>P.E.R.: 50W",Caaguazú,Caaguazú,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.468333/-56.102222,-25.468333,-56.102222,"SI, Acepto",Radios Comunitarias
ZPC300,228,"YBOTY FM - ZPC300 - 93,5MHz",ASOCIACIÓN COMUNITARIA YBOTY,"Departamento: Capital<br>Localidad: Asunción<br>Frecuencia: 93,5MHz<br>P.E.R.: 50W",Capital,Asunción,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.242778/-57.544167,-25.242778,-57.544167,"SI, Acepto",Radios Comunitarias
ZPC495,264,"YBY PYTA FM - ZPC495 - 100,7MHz",RADIO COMUNITARIA YBY PYTA FM,"Departamento: Canindeyu<br>Localidad: Curuguaty<br>Frecuencia: 100,7MHz<br>P.E.R.: 50W",Canindeyu,Curuguaty,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.383333/-55.383333,-24.383333,-55.383333,"SI, Acepto",Radios Comunitarias
ZPD895,200,"YBYTYMI LAMPARA FM - ZPD895 - 87,9MHz",ASOCIACIÓN RADIO COMUNITARIA YBYTIMI LAMPARA FM,"Departamento: Paraguarí<br>Localidad: Ybytymi<br>Frecuencia: 87,9MHz<br>P.E.R.: 50W",Paraguarí,Ybytymi,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.812778/-56.758889,-25.812778,-56.758889,"SI, Acepto",Radios Comunitarias
ZPD900,288,"YCUA LAUREL - ZPD900 - 105,5MHz",ASOCIACIÓN RADIO COMUNITARIA YCUA LAUREL,"Departamento: Ñeembucú<br>Localidad: Laureles<br>Frecuencia: 105,5MHz<br>P.E.R.: 50W",Ñeembucú,Laureles,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-27.252222/-57.461111,-27.252222,-57.461111,"SI, Acepto",Radios Comunitarias
ZPD857,244,"YGATIMI SOLIDARIA FM - ZPD857 - 96,7MHz",ASOCIACIÓN DE ORGANIZACIONES CULTURALES COMUNITARIAS DE VILLA YGATIMI,"Departamento: Canindeyu<br>Localidad: Villa Ygatimi<br>Frecuencia: 96,7MHz<br>P.E.R.: 50W",Canindeyu,Villa Ygatimi,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.128056/-55.648333,-24.128056,-55.648333,"SI, Acepto",Radios Comunitarias
ZPD727,248,"YPOTY FM - ZPD727 - 97,5MHz",COMUNIDAD INDÍGENA AVÁ - GUARANÍ DE LA COLONIA FORTUNA,"Departamento: Canindeyu<br>Localidad: Curuguaty - Col Fortuna<br>Frecuencia: 97,5MHz<br>P.E.R.: 50W",Canindeyu,Curuguaty - Col Fortuna,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.418611/-55.7225,-24.418611,-55.7225,"SI, Acepto",Radios Comunitarias
ZPC646,269,"YSYRY FM - ZPC646 - 101,7MHz",FUNDACIÓN YSYRY - COMISIÓN PRO RADIO YSYRY,"Departamento: Paraguarí<br>Localidad: Pirayú<br>Frecuencia: 101,7MHz<br>P.E.R.: 50W",Paraguarí,Pirayú,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.485/-57.234722,-25.485,-57.234722,"SI, Acepto",Radios Comunitarias
ZPD889,216,"YUKERI FM - ZPD889 - 91,1MHz",RED DE MEDIO COMUNITARIOS YUKERI FM,"Departamento: Concepción<br>Localidad: Horqueta<br>Frecuencia: 91,1MHz<br>P.E.R.: 50W",Concepción,Horqueta,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-23.339444/-57.054722,-23.339444,-57.054722,"SI, Acepto",Radios Comunitarias
ZPD631,202,"YVERÁ FM - ZPD631 - 88,3MHz",ASOCIACIÓN YVERÁ DE APOYO A LA NIÑEZ,"Departamento: Misiones<br>Localidad: Villa Florida<br>Frecuencia: 88,3MHz<br>P.E.R.: 50W",Misiones,Villa Florida,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-26.409444/-57.116667,-26.409444,-57.116667,"SI, Acepto",Radios Comunitarias
ZPD862,209,"YVOTY POTY FM - ZPD862 - 89,7MHz",ORGANIZACIÓN YVY POTY,"Departamento: Paraguarí<br>Localidad: Ybytymi<br>Frecuencia: 89,7MHz<br>P.E.R.: 50W",Paraguarí,Ybytymi,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.755833/-56.801389,-25.755833,-56.801389,"SI, Acepto",Radios Comunitarias
ZPD880,269,"ZEBALLOS FM - ZPD880 - 101,7MHz",ASOCIACIÓN DE RADIO COMUNITARIA ZEBALLOS FM,"Departamento: Capital<br>Localidad: Asunción - Zeballos Cue<br>Frecuencia: 101,7MHz<br>P.E.R.: 25W",Capital,Asunción - Zeballos Cue,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.234167/-57.565,-25.234167,-57.565,"SI, Acepto",Radios Comunitarias
ZPD861,201,"ZONA 10 FM - ZPD861 - 88,1MHz",ASOCIACIÓN RADIO COMUNITARIA ZONA 10 FM,"Departamento: Misiones<br>Localidad: San Patricio<br>Frecuencia: 88,1MHz<br>P.E.R.: 50W",Misiones,San Patricio,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-26.968333/-56.828056,-26.968333,-56.828056,"SI, Acepto",Radios Comunitarias
ZPD887,266,"Mbaracayú FM - ZPD887 - 101,1 MHzMHz",Asociación Radio Comunitaria Mbaracayú,"Departamento: Alto Paraná<br>Localidad: Mbaracayú<br>Frecuencia: 101,1 MHzMHz<br>P.E.R.: 50WW",Alto Paraná,Mbaracayú,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.981667/-54.7275,-24.981667,-54.7275,"SI, Acepto",Radios Comunitarias
