id,channel,name,authorized,description,department,city,frequency,source,link,lat,lon,agreement
ZPD811,209,"RADIO COMUNITARIA TEBICUARY FM - ZPD811 - 89,7MHz",RADIO COMUNITARIA TEBICUARY FM,"Departamento: Guairá Localidad: Tebicuary Frecuencia: 89,7MHz P.E.R.: 50W",Guairá,Tebicuary,"89,7",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.778056/-56.649444,-25.778056,-56.649444,"Sí, de acuerdo"
ZPD853,213,"RADIO COMUNITARIA YVYTY PYTU - ZPD853 - 90,5MHz",COMISIÓN DE APOYO A LA RADIO COMUNITARIA YVYTY PYTU - MELGAREJO,"Departamento: Guairá Localidad: Independencia Frecuencia: 90,5MHz P.E.R.: 50W",Guairá,Independencia,"90,5",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.716111/-56.233333,-25.716111,-56.233333,"Sí, de acuerdo"
ZPC643,241,"RADIO CRITIANA ATALAYA FM - ZPC643 - 96,1MHz",ASOCIACIÓN RADIO COMUNITARIA CRISTIANA ATALAYA,"Departamento: Canindeyu Localidad: Salto del Guairá Frecuencia: 96,1MHz P.E.R.: 50W",Canindeyu,Salto del Guairá,"96,1",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.052222/-54.305,-24.052222,-54.305,"Sí, de acuerdo"
ZPC836,243,"RADIO ECA - ZPC836 - 96,5MHz",ESCUELA CRISTIANA DEL AIRE,"Departamento: Alto Parana Localidad: Ciudad del Este Frecuencia: 96,5MHz P.E.R.: 50W",Alto Parana,Ciudad del Este,"96,5",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.506111/-54.628889,-25.506111,-54.628889,"Sí, de acuerdo"
ZPD899,241,"RADIO ESTRELLA DEL ORIENTE - ZPD899 - 96,1MHz",COMISIÓN PRO RADIO CRISTIANA ESTRELLA DEL ORIENTE,"Departamento: Canindeyu Localidad: Villa Ygatimi Frecuencia: 96,1MHz P.E.R.: 50W",Canindeyu,Villa Ygatimi,"96,1",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.142222/-55.644167,-24.142222,-55.644167,"Sí, de acuerdo"
ZPD883,200,"RADIO FISTA FM - ZPD883 - 87,9MHz",ASOCIACIÓN RADIO COMUNITARIA FIESTA FM,"Departamento: Itapúa Localidad: General Delgado Frecuencia: 87,9MHz P.E.R.: 50W",Itapúa,General Delgado,"87,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-27.089444/-56.524167,-27.089444,-56.524167,"Sí, de acuerdo"
ZPC307,281,"RADIO FROSEP - ZPC307 - 104,1MHz",FUNDACIÓN REDENTORISTA DE OBRAS SOCIALES Y EDUCACIONALES DE PILAR - FROSEP,"Departamento: Ñeembucú Localidad: Pilar Frecuencia: 104,1MHz P.E.R.: 50W",Ñeembucú,Pilar,"104,1",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-26.861389/-58.283889,-26.861389,-58.283889,"Sí, de acuerdo"
ZPC849,269,"RADIO HOLIDAY - ZPC849 - 101,7MHz",ASOCIACIÓN HOLIDAY,"Departamento: Central Localidad: Ypané Frecuencia: 101,7MHz P.E.R.: 50W",Central,Ypané,"101,7",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.462222/-57.51,-25.462222,-57.51,"Sí, de acuerdo"
ZPC806,202,"RADIO JESÚS ES EL SALVADOR - ZPC806 - 88,3MHz",MINISTERIO CRISTIANO JESÚS ES EL SALVADOR,"Departamento: Amambay Localidad: Pedro Juan Caballero Frecuencia: 88,3MHz P.E.R.: 50W",Amambay,Pedro Juan Caballero,"88,3",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-22.55/-55.733333,-22.55,-55.733333,"Sí, de acuerdo"
ZPD754,200,"RADIO JUAN DE MENA - ZPD754 - 87,9MHz",CENTRO SOCIAL JUAN DEMENINO,"Departamento: Cordillera Localidad: Juan de Mena Frecuencia: 87,9MHz P.E.R.: 50W",Cordillera,Juan de Mena,"87,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.954444/-56.764167,-24.954444,-56.764167,"Sí, de acuerdo"
ZPD756,208,"RADIO KA'AGUY TEKOHA KATU - ZPD756 - 89,5MHz",COMUNIDAD INDÍGENA ARROYO MOKÔI,"Departamento: Canindeyu Localidad: Yvyrarovana- Arroyo Mokôi Frecuencia: 89,5MHz P.E.R.: 50W",Canindeyu,Yvyrarovana- Arroyo Mokôi,"89,5",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.237222/-55.110833,-24.237222,-55.110833,"Sí, de acuerdo"
